x	y	key	help	PANEL	group
0	0	0 0	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	1
0	0.125	0 0.125	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	2
0	0.25	0 0.25	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	3
0	0.375	0 0.375	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	4
0	0.5	0 0.5	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	5
0	0.625	0 0.625	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	6
0	0.75	0 0.75	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	7
0.2	0.125	0.2 0.125	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	8
0.2	0.25	0.2 0.25	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	9
0.2	0.375	0.2 0.375	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	10
0.2	0.5	0.2 0.5	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	11
0.4	0.125	0.4 0.125	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	12
0.4	0.25	0.4 0.25	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	13
0.4	0.375	0.4 0.375	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	14
0.4	0.5	0.4 0.5	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	15
0.4	0.625	0.4 0.625	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	16
0.4	0.75	0.4 0.75	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	17
0.6	0.125	0.6 0.125	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	18
0.6	0.25	0.6 0.25	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	19
0.6	0.375	0.6 0.375	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	20
0.6	0.5	0.6 0.5	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	21
0.6	0.625	0.6 0.625	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	22
0.6	0.75	0.6 0.75	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	23
0.8	0.25	0.8 0.25	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	24
0.8	0.375	0.8 0.375	One dot per pair of possible values of AUC, AUM, and proportion of predictions in finite interval, with shades of red indicating how many ROC curves that have these values.	2	25
