x	y	key	clickSelects	PANEL
0	0	round.aum prop.finite 0 0	round.aum prop.finite 0 0	2
0	0.125	round.aum prop.finite 0 0.125	round.aum prop.finite 0 0.125	2
0	0.25	round.aum prop.finite 0 0.25	round.aum prop.finite 0 0.25	2
0	0.375	round.aum prop.finite 0 0.375	round.aum prop.finite 0 0.375	2
0	0.5	round.aum prop.finite 0 0.5	round.aum prop.finite 0 0.5	2
0	0.625	round.aum prop.finite 0 0.625	round.aum prop.finite 0 0.625	2
0	0.75	round.aum prop.finite 0 0.75	round.aum prop.finite 0 0.75	2
0.2	0.125	round.aum prop.finite 0.2 0.125	round.aum prop.finite 0.2 0.125	2
0.2	0.25	round.aum prop.finite 0.2 0.25	round.aum prop.finite 0.2 0.25	2
0.2	0.375	round.aum prop.finite 0.2 0.375	round.aum prop.finite 0.2 0.375	2
0.2	0.5	round.aum prop.finite 0.2 0.5	round.aum prop.finite 0.2 0.5	2
0.4	0.125	round.aum prop.finite 0.4 0.125	round.aum prop.finite 0.4 0.125	2
0.4	0.25	round.aum prop.finite 0.4 0.25	round.aum prop.finite 0.4 0.25	2
0.4	0.375	round.aum prop.finite 0.4 0.375	round.aum prop.finite 0.4 0.375	2
0.4	0.5	round.aum prop.finite 0.4 0.5	round.aum prop.finite 0.4 0.5	2
0.4	0.625	round.aum prop.finite 0.4 0.625	round.aum prop.finite 0.4 0.625	2
0.4	0.75	round.aum prop.finite 0.4 0.75	round.aum prop.finite 0.4 0.75	2
0.6	0.125	round.aum prop.finite 0.6 0.125	round.aum prop.finite 0.6 0.125	2
0.6	0.25	round.aum prop.finite 0.6 0.25	round.aum prop.finite 0.6 0.25	2
0.6	0.375	round.aum prop.finite 0.6 0.375	round.aum prop.finite 0.6 0.375	2
0.6	0.5	round.aum prop.finite 0.6 0.5	round.aum prop.finite 0.6 0.5	2
0.6	0.625	round.aum prop.finite 0.6 0.625	round.aum prop.finite 0.6 0.625	2
0.6	0.75	round.aum prop.finite 0.6 0.75	round.aum prop.finite 0.6 0.75	2
0.8	0.25	round.aum prop.finite 0.8 0.25	round.aum prop.finite 0.8 0.25	2
0.8	0.375	round.aum prop.finite 0.8 0.375	round.aum prop.finite 0.8 0.375	2
0.8	0.5	round.aum prop.finite 0.8 0.5	round.aum prop.finite 0.8 0.5	2
0.8	0.625	round.aum prop.finite 0.8 0.625	round.aum prop.finite 0.8 0.625	2
0.8	0.75	round.aum prop.finite 0.8 0.75	round.aum prop.finite 0.8 0.75	2
1	0.375	round.aum prop.finite 1 0.375	round.aum prop.finite 1 0.375	2
1	0.5	round.aum prop.finite 1 0.5	round.aum prop.finite 1 0.5	2
1	0.625	round.aum prop.finite 1 0.625	round.aum prop.finite 1 0.625	2
1	0.75	round.aum prop.finite 1 0.75	round.aum prop.finite 1 0.75	2
1	0.875	round.aum prop.finite 1 0.875	round.aum prop.finite 1 0.875	2
1.4	0.125	round.aum prop.finite 1.4 0.125	round.aum prop.finite 1.4 0.125	2
1.6	0.125	round.aum prop.finite 1.6 0.125	round.aum prop.finite 1.6 0.125	2
1.6	0.25	round.aum prop.finite 1.6 0.25	round.aum prop.finite 1.6 0.25	2
1.6	0.375	round.aum prop.finite 1.6 0.375	round.aum prop.finite 1.6 0.375	2
1.6	0.5	round.aum prop.finite 1.6 0.5	round.aum prop.finite 1.6 0.5	2
1.8	0.25	round.aum prop.finite 1.8 0.25	round.aum prop.finite 1.8 0.25	2
1.8	0.375	round.aum prop.finite 1.8 0.375	round.aum prop.finite 1.8 0.375	2
1.8	0.5	round.aum prop.finite 1.8 0.5	round.aum prop.finite 1.8 0.5	2
1.8	0.625	round.aum prop.finite 1.8 0.625	round.aum prop.finite 1.8 0.625	2
1.8	0.75	round.aum prop.finite 1.8 0.75	round.aum prop.finite 1.8 0.75	2
1.8	0.875	round.aum prop.finite 1.8 0.875	round.aum prop.finite 1.8 0.875	2
2	0.25	round.aum prop.finite 2 0.25	round.aum prop.finite 2 0.25	2
2	0.375	round.aum prop.finite 2 0.375	round.aum prop.finite 2 0.375	2
2	0.5	round.aum prop.finite 2 0.5	round.aum prop.finite 2 0.5	2
2	0.625	round.aum prop.finite 2 0.625	round.aum prop.finite 2 0.625	2
2	0.75	round.aum prop.finite 2 0.75	round.aum prop.finite 2 0.75	2
2.2	0.25	round.aum prop.finite 2.2 0.25	round.aum prop.finite 2.2 0.25	2
2.2	0.375	round.aum prop.finite 2.2 0.375	round.aum prop.finite 2.2 0.375	2
2.2	0.5	round.aum prop.finite 2.2 0.5	round.aum prop.finite 2.2 0.5	2
2.2	0.625	round.aum prop.finite 2.2 0.625	round.aum prop.finite 2.2 0.625	2
2.2	0.75	round.aum prop.finite 2.2 0.75	round.aum prop.finite 2.2 0.75	2
2.2	0.875	round.aum prop.finite 2.2 0.875	round.aum prop.finite 2.2 0.875	2
2.4	0.375	round.aum prop.finite 2.4 0.375	round.aum prop.finite 2.4 0.375	2
2.4	0.5	round.aum prop.finite 2.4 0.5	round.aum prop.finite 2.4 0.5	2
2.4	0.625	round.aum prop.finite 2.4 0.625	round.aum prop.finite 2.4 0.625	2
2.4	0.75	round.aum prop.finite 2.4 0.75	round.aum prop.finite 2.4 0.75	2
2.4	0.875	round.aum prop.finite 2.4 0.875	round.aum prop.finite 2.4 0.875	2
2.6	0.5	round.aum prop.finite 2.6 0.5	round.aum prop.finite 2.6 0.5	2
2.6	0.625	round.aum prop.finite 2.6 0.625	round.aum prop.finite 2.6 0.625	2
2.6	0.75	round.aum prop.finite 2.6 0.75	round.aum prop.finite 2.6 0.75	2
2.6	0.875	round.aum prop.finite 2.6 0.875	round.aum prop.finite 2.6 0.875	2
2.6	1	round.aum prop.finite 2.6 1	round.aum prop.finite 2.6 1	2
0	1	prop.finite round.auc 0 1	prop.finite round.auc 0 1	3
0.125	0.75	prop.finite round.auc 0.125 0.75	prop.finite round.auc 0.125 0.75	3
