xmin	xmax	ymin	ymax	key	clickSelects	showSelected2
0	0.1	-0.4	8.4	1	1	1
0.1	1.56330432084473	-0.4	8.4	2	2	1
1.56330432084473	1.60634112630132	-0.4	8.4	3	3	1
1.60634112630132	1.6720342777882	-0.4	8.4	4	4	1
1.6720342777882	1.71217817532878	-0.4	8.4	5	5	1
1.71217817532878	1.77036556648037	-0.4	8.4	6	6	1
1.77036556648037	1.77920107129501	-0.4	8.4	7	7	1
1.77920107129501	1.81015768215035	-0.4	8.4	8	8	1
1.81015768215035	1.91015768215035	-0.4	8.4	9	9	1
1.91015768215035	2.01015768215035	-0.4	8.4	10	10	1
2.01015768215035	2.11015768215035	-0.4	8.4	11	11	1
2.11015768215035	2.21015768215035	-0.4	8.4	12	12	1
2.21015768215035	2.31015768215035	-0.4	8.4	13	13	1
2.31015768215035	2.41015768215035	-0.4	8.4	14	14	1
2.41015768215035	2.51015768215035	-0.4	8.4	15	15	1
2.51015768215035	2.61015768215035	-0.4	8.4	16	16	1
2.61015768215035	2.71015768215035	-0.4	8.4	17	17	1
2.71015768215035	2.81015768215035	-0.4	8.4	18	18	1
2.81015768215035	2.91015768215035	-0.4	8.4	19	19	1
2.91015768215035	3.01015768215035	-0.4	8.4	20	20	1
3.01015768215035	3.04111429300568	-0.4	8.4	21	21	1
3.04111429300568	3.1482810865125	-0.4	8.4	22	22	1
3.1482810865125	3.39992113817834	-0.4	8.4	23	23	1
3.39992113817834	3.51878424216178	-0.4	8.4	24	24	1
3.51878424216178	3.61878424216178	-0.4	8.4	25	25	1
0	0.1	-0.4	8.4	1	1	2
0.1	1.16804067618721	-0.4	8.4	2	2	2
1.16804067618721	1.43302156809062	-0.4	8.4	3	3	2
1.43302156809062	1.56330432084473	-0.4	8.4	4	4	2
1.56330432084473	1.60634112630132	-0.4	8.4	5	5	2
1.60634112630132	1.6720342777882	-0.4	8.4	6	6	2
1.6720342777882	1.71217817532878	-0.4	8.4	7	7	2
1.71217817532878	1.77036556648037	-0.4	8.4	8	8	2
1.77036556648037	1.77920107129501	-0.4	8.4	9	9	2
1.77920107129501	1.81021989030229	-0.4	8.4	10	10	2
1.81021989030229	1.84997530781965	-0.4	8.4	11	11	2
1.84997530781965	1.87325496159552	-0.4	8.4	12	12	2
1.87325496159552	1.88060064554228	-0.4	8.4	13	13	2
1.88060064554228	1.89783494292779	-0.4	8.4	14	14	2
1.89783494292779	1.89854226289069	-0.4	8.4	15	15	2
1.89854226289069	1.99854226289069	-0.4	8.4	16	16	2
1.99854226289069	2.09854226289069	-0.4	8.4	17	17	2
2.09854226289069	2.19854226289069	-0.4	8.4	18	18	2
2.19854226289069	2.29854226289069	-0.4	8.4	19	19	2
2.29854226289069	2.39854226289069	-0.4	8.4	20	20	2
2.39854226289069	2.49854226289069	-0.4	8.4	21	21	2
2.49854226289069	2.59854226289069	-0.4	8.4	22	22	2
2.59854226289069	2.69854226289069	-0.4	8.4	23	23	2
2.69854226289069	2.95018231455653	-0.4	8.4	24	24	2
2.95018231455653	3.05018231455653	-0.4	8.4	25	25	2
0	0.1	-0.4	8.4	1	1	3
0.1	1.1487803758085	-0.4	8.4	2	2	3
1.1487803758085	1.56330432084473	-0.4	8.4	3	3	3
1.56330432084473	1.60634112630132	-0.4	8.4	4	4	3
1.60634112630132	1.69000807643621	-0.4	8.4	5	5	3
1.69000807643621	1.71217817532878	-0.4	8.4	6	6	3
1.71217817532878	1.77036556648037	-0.4	8.4	7	7	3
1.77036556648037	1.77920107129501	-0.4	8.4	8	8	3
1.77920107129501	1.81015768215035	-0.4	8.4	9	9	3
1.81015768215035	1.81021989030229	-0.4	8.4	10	10	3
1.81021989030229	1.84997530781965	-0.4	8.4	11	11	3
1.84997530781965	1.87325496159552	-0.4	8.4	12	12	3
1.87325496159552	1.88060064554228	-0.4	8.4	13	13	3
1.88060064554228	1.89783494292779	-0.4	8.4	14	14	3
1.89783494292779	1.89854226289069	-0.4	8.4	15	15	3
1.89854226289069	1.99854226289069	-0.4	8.4	16	16	3
1.99854226289069	2.09854226289069	-0.4	8.4	17	17	3
2.09854226289069	2.19854226289069	-0.4	8.4	18	18	3
2.19854226289069	2.29854226289069	-0.4	8.4	19	19	3
2.29854226289069	2.39854226289069	-0.4	8.4	20	20	3
2.39854226289069	2.49854226289069	-0.4	8.4	21	21	3
2.49854226289069	2.59854226289069	-0.4	8.4	22	22	3
2.59854226289069	2.62949887374603	-0.4	8.4	23	23	3
2.62949887374603	3.10716882290212	-0.4	8.4	24	24	3
3.10716882290212	3.20716882290212	-0.4	8.4	25	25	3
0	0.1	-0.4	8.4	1	1	4
0.1	1.1487803758085	-0.4	8.4	2	2	4
1.1487803758085	1.16804067618721	-0.4	8.4	3	3	4
1.16804067618721	1.26804067618721	-0.4	8.4	4	4	4
1.26804067618721	1.39832342894131	-0.4	8.4	5	5	4
1.39832342894131	1.44136023439791	-0.4	8.4	6	6	4
1.44136023439791	1.5250271845328	-0.4	8.4	7	7	4
1.5250271845328	1.54719728342537	-0.4	8.4	8	8	4
1.54719728342537	1.60538467457696	-0.4	8.4	9	9	4
1.60538467457696	1.6142201793916	-0.4	8.4	10	10	4
1.6142201793916	1.64523899839888	-0.4	8.4	11	11	4
1.64523899839888	1.68499441591624	-0.4	8.4	12	12	4
1.68499441591624	1.70827406969211	-0.4	8.4	13	13	4
1.70827406969211	1.71561975363887	-0.4	8.4	14	14	4
1.71561975363887	1.73285405102438	-0.4	8.4	15	15	4
1.73285405102438	1.73356137098728	-0.4	8.4	16	16	4
1.73356137098728	1.83356137098728	-0.4	8.4	17	17	4
1.83356137098728	1.93356137098728	-0.4	8.4	18	18	4
1.93356137098728	2.03356137098728	-0.4	8.4	19	19	4
2.03356137098728	2.13356137098728	-0.4	8.4	20	20	4
2.13356137098728	2.23356137098728	-0.4	8.4	21	21	4
2.23356137098728	2.33356137098728	-0.4	8.4	22	22	4
2.33356137098728	2.43356137098728	-0.4	8.4	23	23	4
2.43356137098728	2.53356137098728	-0.4	8.4	24	24	4
0	0.1	-0.4	8.4	1	1	5
0.1	1.56330432084473	-0.4	8.4	2	2	5
1.56330432084473	1.6720342777882	-0.4	8.4	3	3	5
1.6720342777882	1.71217817532878	-0.4	8.4	4	4	5
1.71217817532878	1.77036556648037	-0.4	8.4	5	5	5
1.77036556648037	1.81015768215035	-0.4	8.4	6	6	5
1.81015768215035	1.91015768215035	-0.4	8.4	7	7	5
1.91015768215035	2.01015768215035	-0.4	8.4	8	8	5
2.01015768215035	2.11015768215035	-0.4	8.4	9	9	5
2.11015768215035	2.21015768215035	-0.4	8.4	10	10	5
2.21015768215035	2.31015768215035	-0.4	8.4	11	11	5
2.31015768215035	2.41015768215035	-0.4	8.4	12	12	5
2.41015768215035	2.51015768215035	-0.4	8.4	13	13	5
2.51015768215035	2.61015768215035	-0.4	8.4	14	14	5
2.61015768215035	2.71015768215035	-0.4	8.4	15	15	5
2.71015768215035	2.81015768215035	-0.4	8.4	16	16	5
2.81015768215035	2.91015768215035	-0.4	8.4	17	17	5
2.91015768215035	3.01015768215035	-0.4	8.4	18	18	5
3.01015768215035	3.11015768215035	-0.4	8.4	19	19	5
3.11015768215035	3.15152718119234	-0.4	8.4	20	20	5
3.15152718119234	3.2482810865125	-0.4	8.4	21	21	5
3.2482810865125	3.47842129480642	-0.4	8.4	22	22	5
3.47842129480642	3.49992113817834	-0.4	8.4	23	23	5
3.49992113817834	3.61878424216178	-0.4	8.4	24	24	5
3.61878424216178	3.71878424216178	-0.4	8.4	25	25	5
0	0.1	-0.4	8.4	1	1	6
0.1	1.16804067618721	-0.4	8.4	2	2	6
1.16804067618721	1.43302156809062	-0.4	8.4	3	3	6
1.43302156809062	1.56330432084473	-0.4	8.4	4	4	6
1.56330432084473	1.6720342777882	-0.4	8.4	5	5	6
1.6720342777882	1.71217817532878	-0.4	8.4	6	6	6
1.71217817532878	1.77036556648037	-0.4	8.4	7	7	6
1.77036556648037	1.81021989030229	-0.4	8.4	8	8	6
1.81021989030229	1.84997530781965	-0.4	8.4	9	9	6
1.84997530781965	1.87325496159552	-0.4	8.4	10	10	6
1.87325496159552	1.88060064554228	-0.4	8.4	11	11	6
1.88060064554228	1.89783494292779	-0.4	8.4	12	12	6
1.89783494292779	1.89854226289069	-0.4	8.4	13	13	6
1.89854226289069	1.99854226289069	-0.4	8.4	14	14	6
1.99854226289069	2.09854226289069	-0.4	8.4	15	15	6
2.09854226289069	2.19854226289069	-0.4	8.4	16	16	6
2.19854226289069	2.29854226289069	-0.4	8.4	17	17	6
2.29854226289069	2.39854226289069	-0.4	8.4	18	18	6
2.39854226289069	2.49854226289069	-0.4	8.4	19	19	6
2.49854226289069	2.59854226289069	-0.4	8.4	20	20	6
2.59854226289069	2.69854226289069	-0.4	8.4	21	21	6
