group	colour	fill	tooltip
1	#000000	#FFFCFB	1 combos with Area under both=0, Prop. predictions in finite interval=0 for size 1
2	#000000	#FFEBE4	7 combos with Area under both=0, Prop. predictions in finite interval=0.125 for size 1
3	#000000	#FFE0D4	11 combos with Area under both=0, Prop. predictions in finite interval=0.25 for size 1
4	#000000	#FFE3D8	10 combos with Area under both=0, Prop. predictions in finite interval=0.375 for size 1
5	#000000	#FFF1EC	5 combos with Area under both=0, Prop. predictions in finite interval=0.5 for size 1
6	#000000	#FFFCFB	1 combos with Area under both=0, Prop. predictions in finite interval=0.625 for size 1
7	#FFFFFF	#FFFFFF	0 combos with Area under both=0, Prop. predictions in finite interval=0.75 for size 1
8	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Prop. predictions in finite interval=0.125 for size 1
9	#000000	#FFF6F3	3 combos with Area under both=0.2, Prop. predictions in finite interval=0.25 for size 1
10	#000000	#FFF6F3	3 combos with Area under both=0.2, Prop. predictions in finite interval=0.375 for size 1
11	#000000	#FFFCFB	1 combos with Area under both=0.2, Prop. predictions in finite interval=0.5 for size 1
12	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Prop. predictions in finite interval=0.125 for size 1
13	#000000	#FFF9F7	2 combos with Area under both=0.4, Prop. predictions in finite interval=0.25 for size 1
14	#000000	#FFEBE4	7 combos with Area under both=0.4, Prop. predictions in finite interval=0.375 for size 1
15	#000000	#FFE5DC	9 combos with Area under both=0.4, Prop. predictions in finite interval=0.5 for size 1
16	#000000	#FFF1EC	5 combos with Area under both=0.4, Prop. predictions in finite interval=0.625 for size 1
17	#000000	#FFFCFB	1 combos with Area under both=0.4, Prop. predictions in finite interval=0.75 for size 1
18	#000000	#FFFCFB	1 combos with Area under both=0.6, Prop. predictions in finite interval=0.125 for size 1
19	#000000	#FFE5DC	9 combos with Area under both=0.6, Prop. predictions in finite interval=0.25 for size 1
20	#000000	#FFCCBA	18 combos with Area under both=0.6, Prop. predictions in finite interval=0.375 for size 1
21	#000000	#FFE0D4	11 combos with Area under both=0.6, Prop. predictions in finite interval=0.5 for size 1
22	#000000	#FFF1EC	5 combos with Area under both=0.6, Prop. predictions in finite interval=0.625 for size 1
23	#000000	#FFFCFB	1 combos with Area under both=0.6, Prop. predictions in finite interval=0.75 for size 1
24	#000000	#FFFCFB	1 combos with Area under both=0.8, Prop. predictions in finite interval=0.25 for size 1
25	#000000	#FFEBE4	7 combos with Area under both=0.8, Prop. predictions in finite interval=0.375 for size 1
26	#000000	#FFDDD1	12 combos with Area under both=0.8, Prop. predictions in finite interval=0.5 for size 1
27	#000000	#FFEEE8	6 combos with Area under both=0.8, Prop. predictions in finite interval=0.625 for size 1
28	#000000	#FFFCFB	1 combos with Area under both=0.8, Prop. predictions in finite interval=0.75 for size 1
29	#FFFFFF	#FFFFFF	0 combos with Area under both=1, Prop. predictions in finite interval=0.375 for size 1
30	#000000	#FFEBE4	7 combos with Area under both=1, Prop. predictions in finite interval=0.5 for size 1
31	#000000	#FFE5DC	9 combos with Area under both=1, Prop. predictions in finite interval=0.625 for size 1
32	#000000	#FFF1EC	5 combos with Area under both=1, Prop. predictions in finite interval=0.75 for size 1
33	#000000	#FFFCFB	1 combos with Area under both=1, Prop. predictions in finite interval=0.875 for size 1
34	#FFFFFF	#FFFFFF	0 combos with Area under both=1.4, Prop. predictions in finite interval=0.125 for size 1
35	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Prop. predictions in finite interval=0.125 for size 1
36	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Prop. predictions in finite interval=0.25 for size 1
37	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Prop. predictions in finite interval=0.375 for size 1
38	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Prop. predictions in finite interval=0.5 for size 1
39	#000000	#FFFCFB	1 combos with Area under both=1.8, Prop. predictions in finite interval=0.25 for size 1
